CUL_TOTAL,MAT_TOTAL,PER_AGIREL,PRO_COMNAT,PRO_COMORI,PRO_COMSIZE,PRO_EXP,PRO_POS,_ID
32,63,2,1,2,4,2,1,6124f5f49458375fc594cd29
31,68,3,2,2,4,2,1,61274c229458375fc594cd2a
39,55,0,2,3,6,2,1,61274fd59458375fc594cd2b
37,67,2,2,2,5,2,1,61275a509458375fc594cd2c
43,72,3,2,2,4,4,1,61275b639458375fc594cd2d
27,45,0,1,2,4,3,6,61277bd79458375fc594cd2e
30,60,2,1,3,3,2,3,61277d539458375fc594cd2f
43,91,0,1,3,2,3,1,612786b99458375fc594cd30
38,71,3,3,3,1,3,1,612786bc9458375fc594cd31
45,90,2,3,2,2,4,1,612789439458375fc594cd32
33,63,2,3,3,5,4,3,61278dac9458375fc594cd33
40,84,2,3,3,2,4,3,612799ba9458375fc594cd34
40,57,2,2,3,2,4,3,6127ad9b9458375fc594cd35
36,48,2,2,2,2,5,1,6127c7769458375fc594cd36
32,80,0,3,3,6,4,3,6127d3ca9458375fc594cd37
48,76,2,3,1,6,2,2,6127d5629458375fc594cd38
43,78,0,3,2,6,3,2,6127de859458375fc594cd39
39,82,3,3,2,4,4,1,6127e66e9458375fc594cd3a
41,68,2,1,2,5,3,1,61287edb9458375fc594cd3b
34,76,0,1,1,2,3,3,612895539458375fc594cd3c
40,70,2,2,2,2,4,3,6128f9d99458375fc594cd3d
43,91,2,3,2,4,2,2,612cbca09458375fc594cd3e
32,64,2,3,2,6,2,1,612cbe6a9458375fc594cd3f
49,70,2,2,1,2,1,1,612cc5da9458375fc594cd40
49,58,3,3,1,6,3,6,612d61339458375fc594cd41
42,81,2,3,2,3,4,3,612dd9a19458375fc594cd42
39,78,2,2,3,2,3,3,613e70ca9458375fc594cd44
43,78,2,3,2,1,4,3,613eeb559458375fc594cd45
43,78,3,2,2,3,3,2,613f24d59458375fc594cd46
44,68,2,2,2,3,2,2,613f2d649458375fc594cd47
45,79,2,3,2,2,5,3,613f32849458375fc594cd48
42,81,2,2,2,2,2,2,613f69269458375fc594cd49
46,67,2,2,3,3,1,2,613fb8569458375fc594cd4a
46,72,2,2,1,3,1,2,61404f4b9458375fc594cd4b
38,80,2,2,2,6,2,1,614831aa9458375fc594cd4c
33,60,0,1,1,2,1,1,61486a999458375fc594cd4d
38,78,2,1,1,2,2,2,61487beb9458375fc594cd4e
36,62,0,1,1,1,3,1,6149836f9458375fc594cd4f
36,72,3,1,1,2,2,1,614a0ed39458375fc594cd50
40,93,2,3,3,5,3,2,614b474e9458375fc594cd51
36,84,0,3,1,4,2,2,614c6d999458375fc594cd52
27,50,2,3,1,5,4,3,614c9a279458375fc594cd53
36,82,0,3,2,5,4,1,614d8b0a9458375fc594cd54
47,92,2,3,3,5,5,3,614da04c9458375fc594cd55
32,64,0,1,2,2,3,1,614f25069458375fc594cd56
32,69,0,1,1,3,3,3,614f39879458375fc594cd57
40,82,0,2,3,3,1,1,614f4e239458375fc594cd58
27,59,0,1,1,1,1,1,6151ae659458375fc594cd59
44,83,0,2,1,1,4,3,6151d5369458375fc594cd5a
34,65,2,2,1,2,2,6,6151ed699458375fc594cd5b
39,78,0,1,2,1,3,3,6152190e9458375fc594cd5c
45,82,2,2,1,3,3,1,6152315b9458375fc594cd5d
47,72,2,2,3,1,5,3,615291a69458375fc594cd5e
38,68,3,1,1,2,4,1,6152d00a9458375fc594cd5f
33,61,0,1,1,1,3,6,6152f7cd9458375fc594cd60
41,94,2,3,1,4,3,2,61531e8c9458375fc594cd61
43,87,2,3,3,5,3,2,61541f069458375fc594cd62
50,85,2,2,2,4,5,3,61545a649458375fc594cd63
34,69,0,1,1,2,3,1,6154604a9458375fc594cd64
41,87,2,2,1,3,2,1,615463ec9458375fc594cd65
44,86,2,3,1,5,3,6,615489a69458375fc594cd66
33,72,0,1,1,1,1,1,6154d4959458375fc594cd67
40,82,2,2,1,3,2,2,615546c89458375fc594cd68
45,92,2,3,2,2,3,1,615578099458375fc594cd69
31,64,0,2,2,1,1,2,6155af069458375fc594cd6a
43,82,2,3,3,3,3,1,615631629458375fc594cd6b
43,82,2,3,1,5,5,1,6156aa949458375fc594cd6c
32,66,0,1,2,1,2,3,6156c10e9458375fc594cd6d
39,78,2,2,3,3,4,1,61571c859458375fc594cd6e
28,64,0,1,1,1,2,1,615755f79458375fc594cd6f
39,75,2,2,1,2,3,2,615816989458375fc594cd70
40,81,2,3,3,5,5,1,615820d49458375fc594cd71
30,62,2,1,3,2,3,2,615896689458375fc594cd72
34,67,3,2,3,3,4,6,6159a3ac9458375fc594cd73
40,71,2,1,2,1,5,3,615a00469458375fc594cd74
35,67,2,2,3,3,1,1,615aade19458375fc594cd75
