CUL_AVG,CUL_COLLAB,CUL_COMMUN,CUL_DIFPERS,CUL_FAILOP,CUL_INITI,CUL_MULTEAM,CUL_OUTCOMM,CUL_SHARESP,CUL_TEAMCON,CUL_TECKSTA,CUL_TOTAL,_ID
3.20,3,4,4,4,3,1,1,4,4,4,32,6124f5f49458375fc594cd29
3.10,5,4,4,4,3,1,1,4,3,2,31,61274c229458375fc594cd2a
3.90,4,4,5,5,5,1,1,5,4,5,39,61274fd59458375fc594cd2b
3.70,4,4,4,4,4,3,3,3,4,4,37,61275a509458375fc594cd2c
4.30,4,5,5,5,5,4,2,5,5,3,43,61275b639458375fc594cd2d
2.40,0,3,4,3,2,2,5,2,1,2,24,61277bd79458375fc594cd2e
3.00,2,3,3,2,4,1,4,1,5,5,30,61277d539458375fc594cd2f
4.30,3,5,5,5,5,5,1,4,5,5,43,612786b99458375fc594cd30
3.80,2,4,5,4,5,2,3,5,4,4,38,612786bc9458375fc594cd31
4.50,4,5,5,5,5,4,3,5,5,4,45,612789439458375fc594cd32
3.30,3,4,3,3,4,4,1,4,5,2,33,61278dac9458375fc594cd33
4.00,4,5,5,4,5,3,3,4,4,3,40,612799ba9458375fc594cd34
4.00,5,5,5,4,5,5,1,3,4,3,40,6127ad9b9458375fc594cd35
3.60,4,4,5,3,4,4,3,4,4,1,36,6127c7769458375fc594cd36
3.20,2,5,4,4,5,1,1,4,4,2,32,6127d3ca9458375fc594cd37
4.80,5,5,5,5,5,5,5,5,5,3,48,6127d5629458375fc594cd38
4.30,5,5,5,4,5,5,3,4,2,5,43,6127de859458375fc594cd39
3.90,3,4,5,5,5,1,4,4,4,4,39,6127e66e9458375fc594cd3a
4.10,5,5,5,5,5,4,2,4,4,2,41,61287edb9458375fc594cd3b
3.40,2,5,4,4,3,2,4,4,2,4,34,612895539458375fc594cd3c
4.00,4,4,4,4,4,4,4,4,4,4,40,6128f9d99458375fc594cd3d
4.30,4,4,4,5,5,5,4,4,5,3,43,612cbca09458375fc594cd3e
3.20,2,4,4,4,4,2,1,4,4,3,32,612cbe6a9458375fc594cd3f
4.90,5,5,5,5,5,5,5,5,5,4,49,612cc5da9458375fc594cd40
4.90,5,4,5,5,5,5,5,5,5,5,49,612d61339458375fc594cd41
4.20,4,4,4,4,5,4,3,5,5,4,42,612dd9a19458375fc594cd42
3.90,4,4,5,5,4,1,5,4,3,4,39,613e70ca9458375fc594cd44
4.30,5,5,5,4,5,5,2,2,5,5,43,613eeb559458375fc594cd45
4.30,4,5,5,5,5,5,1,4,5,4,43,613f24d59458375fc594cd46
4.40,5,5,4,5,5,5,2,5,5,3,44,613f2d649458375fc594cd47
4.50,5,5,5,5,5,5,2,5,5,3,45,613f32849458375fc594cd48
4.20,5,5,5,5,5,5,1,5,5,1,42,613f69269458375fc594cd49
4.60,5,5,4,4,5,5,5,5,4,4,46,613fb8569458375fc594cd4a
4.60,5,5,5,5,5,5,2,5,4,5,46,61404f4b9458375fc594cd4b
3.80,3,4,4,4,4,3,4,4,4,4,38,614831aa9458375fc594cd4c
3.30,4,4,3,3,4,3,2,4,3,3,33,61486a999458375fc594cd4d
