MAT_ACTAUT,MAT_BISHDEP,MAT_CHAFAIL,MAT_COMAUTO,MAT_DEMDEP,MAT_DEPFRE,MAT_DEPSTA,MAT_DOCUME,MAT_FAILTEST,MAT_LEADTIME,MAT_MONISS,MAT_MONMET,MAT_PRODINC,MAT_SECREW,MAT_TIMRES,MAT_TOOLINC_SCORE,MAT_TOOLRES,MAT_TOTAL,_ID
3,5,10,5,1,2,4,2,5,0,4,4,4,3,6,6,3,67,6124f5f49458375fc594cd29
2,4,10,5,4,4,2,2,5,6,3,4,2,3,6,8,3,73,61274c229458375fc594cd2a
5,3,2,5,1,2,5,4,5,0,3,3,3,4,6,3,3,57,61274fd59458375fc594cd2b
4,4,10,0,3,2,3,3,4,2,4,4,4,3,8,8,3,69,61275a509458375fc594cd2c
4,5,10,5,4,2,0,2,3,6,3,4,3,5,6,9,3,74,61275b639458375fc594cd2d
3,1,4,1,1,6,1,3,2,4,0,5,4,4,0,2,2,43,61277bd79458375fc594cd2e
5,2,8,3,1,4,4,5,4,2,2,3,1,4,4,12,3,67,61277d539458375fc594cd2f
5,5,10,5,5,2,5,5,5,8,5,5,5,5,8,12,3,98,612786b99458375fc594cd30
4,5,10,4,2,4,3,3,5,2,4,4,4,1,8,12,3,78,612786bc9458375fc594cd31
5,5,10,5,5,8,4,3,5,4,5,4,4,5,8,15,4,99,612789439458375fc594cd32
4,5,10,2,3,2,3,4,1,2,4,4,5,5,4,6,3,67,61278dac9458375fc594cd33
4,5,10,4,4,4,3,3,4,6,4,5,4,4,8,20,3,95,612799ba9458375fc594cd34
4,4,8,2,3,0,3,2,3,2,5,4,4,4,6,3,2,59,6127ad9b9458375fc594cd35
2,1,10,1,1,2,4,2,3,2,2,1,3,1,6,11,3,55,6127c7769458375fc594cd36
3,5,10,5,5,2,4,2,5,0,5,5,5,5,6,27,1,95,6127d3ca9458375fc594cd37
5,3,10,5,5,2,5,3,5,2,5,5,4,3,8,6,4,80,6127d5629458375fc594cd38
5,2,8,5,2,2,5,4,5,2,5,5,5,4,6,21,4,90,6127de859458375fc594cd39
5,1,10,5,1,2,5,4,5,8,5,5,4,3,8,21,2,94,6127e66e9458375fc594cd3a
3,4,10,5,4,2,3,1,5,2,5,4,4,3,6,8,4,73,61287edb9458375fc594cd3b
1,5,10,3,5,6,3,2,1,8,5,5,4,2,6,15,4,85,612895539458375fc594cd3c
4,4,10,4,4,2,3,4,4,2,4,4,4,3,6,11,4,77,6128f9d99458375fc594cd3d
5,3,10,5,5,6,3,3,5,8,5,5,4,5,6,23,3,104,612cbca09458375fc594cd3e
4,2,10,5,3,0,4,3,4,0,3,4,4,4,4,15,4,73,612cbe6a9458375fc594cd3f
5,5,8,4,5,6,3,4,5,4,3,5,4,3,2,5,2,73,612cc5da9458375fc594cd40
3,3,10,4,2,0,5,4,4,2,1,2,1,4,8,5,3,61,612d61339458375fc594cd41
5,4,10,5,4,8,5,4,4,6,5,4,3,3,6,7,2,85,612dd9a19458375fc594cd42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613e6d369458375fc594cd43
3,4,10,4,4,8,4,3,5,8,2,2,4,4,6,11,2,84,613e70ca9458375fc594cd44
5,5,10,4,5,4,4,2,3,6,4,3,4,4,6,13,4,86,613eeb559458375fc594cd45
4,3,10,4,5,2,4,4,5,4,4,4,4,4,8,12,4,85,613f24d59458375fc594cd46
4,3,10,5,2,2,2,3,4,2,4,4,3,3,8,12,4,75,613f2d649458375fc594cd47
5,5,10,3,5,4,2,5,5,2,5,5,5,5,8,3,4,81,613f32849458375fc594cd48
5,5,8,5,5,2,5,0,5,8,5,5,3,1,8,17,1,88,613f69269458375fc594cd49
5,3,0,4,2,2,3,5,4,2,5,4,2,4,6,27,4,82,613fb8569458375fc594cd4a
4,4,10,4,4,2,4,3,5,2,4,5,3,4,6,17,1,82,61404f4b9458375fc594cd4b
4,5,10,4,5,8,4,1,4,8,4,4,3,3,6,10,3,86,614831aa9458375fc594cd4c
3,4,8,4,3,2,3,2,4,6,3,3,2,2,6,9,2,66,61486a999458375fc594cd4d
4,4,8,4,4,4,4,3,4,8,4,4,3,3,8,15,3,87,61487beb9458375fc594cd4e
3,4,8,4,3,2,4,3,5,4,3,3,3,2,6,9,2,68,6149836f9458375fc594cd4f
3,4,8,4,4,4,4,3,5,6,4,4,3,3,6,13,2,80,614a0ed39458375fc594cd50
4,5,10,5,5,8,5,3,5,8,4,4,4,4,8,19,3,104,614b474e9458375fc594cd51
4,4,8,5,4,4,5,4,5,8,4,4,4,3,8,15,4,93,614c6d999458375fc594cd52
4,2,8,3,2,2,1,1,5,2,3,3,2,2,6,3,3,52,614c9a279458375fc594cd53
3,4,8,4,4,4,4,3,4,8,4,4,3,4,8,23,3,95,614d8b0a9458375fc594cd54
4,5,10,5,5,8,5,4,5,8,4,4,4,4,8,15,3,101,614da04c9458375fc594cd55
3,4,8,4,4,2,4,3,4,6,3,3,2,3,6,9,2,70,614f25069458375fc594cd56
3,4,8,5,3,4,4,3,5,6,4,3,2,3,6,9,3,75,614f39879458375fc594cd57
4,5,8,5,4,4,4,4,5,8,4,4,4,4,8,11,3,89,614f4e239458375fc594cd58
3,3,8,5,3,2,4,1,5,4,3,3,2,2,6,9,2,65,6151ae659458375fc594cd59
5,5,10,4,5,4,5,2,4,4,5,5,4,3,6,19,4,94,6151d5369458375fc594cd5a
3,4,6,5,3,2,4,2,5,6,4,3,3,3,6,9,3,71,6151ed699458375fc594cd5b
4,5,10,5,3,2,4,4,5,4,4,4,4,4,6,15,4,87,6152190e9458375fc594cd5c
4,4,10,5,4,4,5,3,5,6,4,4,4,4,8,13,3,90,6152315b9458375fc594cd5d
4,5,10,5,5,2,2,3,4,8,4,1,2,1,6,15,4,81,615291a69458375fc594cd5e
3,4,8,4,4,2,4,3,5,6,4,3,4,3,6,9,2,74,6152d00a9458375fc594cd5f
3,3,8,5,3,2,4,3,5,4,3,3,3,3,6,6,1,65,6152f7cd9458375fc594cd60
