PER_AGIREL,PER_DEFINI,_ID
2,"A combination of ""Development"" and ""Operations"", it aims to shorten the systems development life cycle and provide continuous delivery with high software quality.",6124f5f49458375fc594cd29
3,Engineering between development and operations with the purpose to develop ecosystem of  continuous integration and delivery.,61274c229458375fc594cd2a
0,development operations: mixed sequentially operations for integrations purposes ,61274fd59458375fc594cd2b
2,Bringing development and operations together and responsible for smooth process while integration and deploying software,61275a509458375fc594cd2c
NA,Facilitation of CI/CD process,61275b639458375fc594cd2d
0,Dog,61277bd79458375fc594cd2e
2,I believe it stands for Development Operations.  It increases an organization's ability to deliver applications and services at high velocity.,61277d539458375fc594cd2f
0,A role responsible for building and maintaing the software infrastructure using the so called infrastructore as code (IaC). They play a vital part in the release process as well helping the developers deploy their code through CI/CD pipelines.,612786b99458375fc594cd30
3,person who understands infrastructure and project,612786bc9458375fc594cd31
2,Set of practices and processes to facilitate the whole softwre development cycle,612789439458375fc594cd32
2,We build - we run - we fail - we recover as fast as possible.,61278dac9458375fc594cd33
2,"Any collection of technologies that helps operate and maintain the whole software development cycle. That includes preparation and provisioning of servers, virtual machines, and containers for the purposes of software development, manual and automated testing, delivery and deployments. It should also aid in the constant monitoring of system health and operability, and trace for security breaches. Basically any sort of automation that helps alleviate the execution of repeatable tasks, with little to no human interaction, and seriously limits the chance for a human caused error. ",612799ba9458375fc594cd34
2,,6127ad9b9458375fc594cd35
2,Aithomation of software deployment process,6127c7769458375fc594cd36
0,In-house service which aims at automating the steps required for validation of the results of the R&D process and deploying these results to various environments including Production.,6127d3ca9458375fc594cd37
2,,6127d5629458375fc594cd38
0,"DevOps is a development culture, where through a set of practices, such as fast feedback loops, incremental changes, quick releases, and blameless post-mortems, teams can develop high quality software.",6127de859458375fc594cd39
3,"Basically DevOps is what we've used to call the old school administrators back in the days(setting up and monitoring servers, writing some shell scripts, configuring the network, etc), the only difference now is that they have to have knowledge about the cloud and how to utilize it. Some try to beak it even more by using the term 'cloud engineer', but I would vote for DevOps in that regard.",6127e66e9458375fc594cd3a
2,Setting up and Automating CI/CD pipelines. Taking care of cloud infrastructure. ,61287edb9458375fc594cd3b
0,"DevOps is essentially a  culture which aims to - improve delivery times of software, while providing fast feedback for the result of the deliveries. Once those two are accomplished - fast software delivery + fast automated feedback + fast user feedback, the next step is to allow rapid experiments, which may result in large gains for the company. ",612895539458375fc594cd3c
2,"DevOps is the combination of cultural philosophies, practices, and tools that increases an organization’s ability to deliver applications and services",6128f9d99458375fc594cd3d
2,,612cbca09458375fc594cd3e
2,"The automation of build, testing, release and all processes required for a single commit to go all the way to production.",612cbe6a9458375fc594cd3f
2,DevOps is a set of practices that combines software development and IT operations. It aims to shorten the systems development life cycle and provide continuous delivery with high software quality.,612cc5da9458375fc594cd40
3,"Configuration, deployment and development ",612d61339458375fc594cd41
2,Supports development work with good automation practices ,612dd9a19458375fc594cd42
2,,613e70ca9458375fc594cd44
2,The old System administrator which knows how to use the modern tools. ,613eeb559458375fc594cd45
3,automation + automation + more automation,613f24d59458375fc594cd46
2,"A set of principles, processes and methods aiming to increase the speed of releasing changes to a software without sacrificing the quality of the software.",613f2d649458375fc594cd47
2,Software development (Dev) and IT operations (Ops). ,613f32849458375fc594cd48
2,The interweaving of development and infrastructure. Automation of the mundane.,613f69269458375fc594cd49
2,"I still cannot explain it with one sentence, and I don't think it can be explained with one. It's a process, it's a practice, it's a way of thinking. It's not just a way to make things faster, a way to automate. It's a way to improve things that at first glance cannot be improved. Devops is like an overthinking mind. This mind is looking to solve the problem by making sure that there are no holes in the approach, that everything goes smoothly without third party interference. This is hard to achieve sometimes. Sometimes you know how to solve the problem and you have the capacity to do so,however there are branches on the road that are there to trip you. Yak shaving is what I'm referring to and devops is full of it. You have task, you think you can solve it in a day, but it takes you months because this task includes another hundred tasks that you have to solve . This is the biggest drawback devops in my opinion. 

Even though I think that Devops extends Agile, I also think that it can replace it in the near future.",613fb8569458375fc594cd4a
2,,61404f4b9458375fc594cd4b
2,,614831aa9458375fc594cd4c
0,,61486a999458375fc594cd4d
2,set of practices that combines software development and IT operations,61487beb9458375fc594cd4e
0,automation,6149836f9458375fc594cd4f
3,"bridge between development and operations, relies on automation",614a0ed39458375fc594cd50
2,"combination of cultural philosophies, practices, and tools that increases an organization’s ability to deliver applications and services at high velocity",614b474e9458375fc594cd51
0,set of tools and practices that aim to speed up development,614c6d999458375fc594cd52
2,A cross-team collaboration towards a shared goal.,614c9a279458375fc594cd53
0,,614d8b0a9458375fc594cd54
2,evolving and improving products at a faster pace than organizations using traditional software development and infrastructure management processes,614da04c9458375fc594cd55
0,,614f25069458375fc594cd56
0,automation of repetitive processes,614f39879458375fc594cd57
0,,614f4e239458375fc594cd58
0,"automation of build, test and deployment processes",6151ae659458375fc594cd59
0,"Dev Ops is a collection of processes and practices for optimization of the development and delivery process. Focused on heavy automation its primary focus is to reduce the hussle and the risk of human error when delivering, monitoring and supporting software solutions.",6151d5369458375fc594cd5a
2,Automation of infrastructure in the cloud,6151ed699458375fc594cd5b
0,Utalization of automated pipeline processes,6152190e9458375fc594cd5c
2,"shared ownership, workflow automation, and rapid customer feedback cycle",6152315b9458375fc594cd5d
2,DevOps is a working model in which the Developers collaborate closely with the Operations (OPS) team. It is in principle a communication platform in order to reduce the resistance between the DEVs and OPS. The DEVS do want change (new releases all the time) and the OPS want stability (No phone calls at night for breaking services). DevOps aims to reduce this gap. ,615291a69458375fc594cd5e
3,Collaboration between the development and operation teams.,6152d00a9458375fc594cd5f
0,,6152f7cd9458375fc594cd60
2,DevOps is the automation of traditional software development and infrastructure management processes through continuous delivery and continuous deployment pipelines.,61531e8c9458375fc594cd61
2,"It's a cultural idea to bring together development and operations. A key feature of DevOps is the automation of what can be automated - tests, builds, deployments, and even management of infrastructure.",61541f069458375fc594cd62
2,,61545a649458375fc594cd63
